unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
"101471","1","999",13,"0",13,"0",10,"848",10,"109",13,"0",13,"0",10,"4",10,"5",10,"18",10,"1",10,"399",10,"186",10,"2",13,"0",10,"1271",10,"301",13,"0",10,"957",13,"0",10,"9",10,"19",10,"585",10,"2",10,"1572"
"101471","2","1",13,"0",13,"0",10,"848",10,"109",13,"0",13,"0",10,"4",10,"5",10,"18",10,"1",10,"399",10,"186",10,"2",13,"0",10,"1271",10,"301",13,"0",10,"957",13,"0",10,"9",10,"19",10,"585",10,"2",10,"1572"
"101480","1","999",10,"33",10,"47",10,"987",10,"1426",10,"26",10,"52",10,"59",10,"55",10,"42",10,"78",10,"3175",10,"4464",10,"179",10,"246",10,"4501",10,"6368",10,"80",10,"2413",10,"78",10,"114",10,"120",10,"7639",10,"425",10,"10869"
"101480","2","1",10,"26",10,"40",10,"829",10,"1077",10,"19",10,"42",10,"51",10,"50",10,"29",10,"68",10,"2554",10,"3290",10,"131",10,"167",10,"3639",10,"4734",10,"66",10,"1906",10,"61",10,"101",10,"97",10,"5844",10,"298",10,"8373"
"101480","4","3",10,"7",10,"7",10,"158",10,"349",10,"7",10,"10",10,"8",10,"5",10,"13",10,"10",10,"621",10,"1174",10,"48",10,"79",10,"862",10,"1634",10,"14",10,"507",10,"17",10,"13",10,"23",10,"1795",10,"127",10,"2496"
"101499","1","999",13,"0",13,"0",10,"321",10,"244",10,"18",10,"41",10,"2",10,"4",10,"11",10,"4",10,"421",10,"605",10,"55",10,"21",10,"828",10,"919",13,"0",10,"565",10,"59",10,"6",10,"15",10,"1026",10,"76",10,"1747"
"101499","2","1",13,"0",13,"0",10,"321",10,"244",10,"18",10,"41",10,"2",10,"4",10,"11",10,"4",10,"421",10,"605",10,"55",10,"21",10,"828",10,"919",13,"0",10,"565",10,"59",10,"6",10,"15",10,"1026",10,"76",10,"1747"
"101505","1","999",10,"87",10,"67",10,"567",10,"1718",10,"20",10,"20",10,"77",10,"114",10,"64",10,"95",10,"3443",10,"5008",10,"50",10,"95",10,"4308",10,"7117",10,"154",10,"2285",10,"40",10,"191",10,"159",10,"8451",10,"145",10,"11425"
"101505","2","1",10,"87",10,"67",10,"567",10,"1718",10,"20",10,"20",10,"77",10,"114",10,"64",10,"95",10,"3443",10,"5008",10,"50",10,"95",10,"4308",10,"7117",10,"154",10,"2285",10,"40",10,"191",10,"159",10,"8451",10,"145",10,"11425"
"101514","1","999",13,"0",13,"0",10,"892",10,"1588",10,"171",10,"239",10,"86",10,"126",10,"90",10,"128",10,"4094",10,"5150",10,"67",10,"66",10,"5400",10,"7297",13,"0",10,"2480",10,"410",10,"212",10,"218",10,"9244",10,"133",10,"12697"
"101514","2","1",13,"0",13,"0",10,"892",10,"1588",10,"171",10,"239",10,"86",10,"126",10,"90",10,"128",10,"4094",10,"5150",10,"67",10,"66",10,"5400",10,"7297",13,"0",10,"2480",10,"410",10,"212",10,"218",10,"9244",10,"133",10,"12697"
"101541","1","999",13,"0",10,"3",10,"4",10,"55",13,"0",13,"0",13,"0",10,"1",13,"0",10,"4",10,"19",10,"316",13,"0",13,"0",10,"23",10,"379",10,"3",10,"59",13,"0",10,"1",10,"4",10,"335",13,"0",10,"402"
"101541","2","1",13,"0",10,"3",10,"4",10,"55",13,"0",13,"0",13,"0",10,"1",13,"0",10,"4",10,"19",10,"316",13,"0",13,"0",10,"23",10,"379",10,"3",10,"59",13,"0",10,"1",10,"4",10,"335",13,"0",10,"402"
"101569","1","999",13,"0",13,"0",10,"1270",10,"2987",10,"5",10,"3",10,"12",10,"8",10,"9",10,"5",10,"498",10,"292",10,"40",10,"36",10,"1834",10,"3331",13,"0",10,"4257",10,"8",10,"20",10,"14",10,"790",10,"76",10,"5165"
"101569","2","1",13,"0",13,"0",10,"1270",10,"2987",10,"5",10,"3",10,"12",10,"8",10,"9",10,"5",10,"498",10,"292",10,"40",10,"36",10,"1834",10,"3331",13,"0",10,"4257",10,"8",10,"20",10,"14",10,"790",10,"76",10,"5165"
"101587","1","999",10,"16",10,"21",10,"471",10,"1336",10,"8",10,"16",10,"12",10,"18",10,"9",10,"30",10,"806",10,"1689",13,"0",13,"0",10,"1322",10,"3110",10,"37",10,"1807",10,"24",10,"30",10,"39",10,"2495",13,"0",10,"4432"
"101587","2","1",10,"14",10,"11",10,"331",10,"533",10,"7",10,"4",10,"7",10,"2",10,"8",10,"8",10,"498",10,"511",13,"0",13,"0",10,"865",10,"1069",10,"25",10,"864",10,"11",10,"9",10,"16",10,"1009",13,"0",10,"1934"
"101587","4","3",10,"2",10,"10",10,"140",10,"803",10,"1",10,"12",10,"5",10,"16",10,"1",10,"22",10,"308",10,"1178",13,"0",13,"0",10,"457",10,"2041",10,"12",10,"943",10,"13",10,"21",10,"23",10,"1486",13,"0",10,"2498"
"101602","1","999",13,"0",13,"0",10,"113",10,"283",10,"2",10,"3",10,"1",10,"5",10,"2",10,"9",10,"677",10,"1072",10,"1",10,"9",10,"796",10,"1381",13,"0",10,"396",10,"5",10,"6",10,"11",10,"1749",10,"10",10,"2177"
"101602","2","1",13,"0",13,"0",10,"113",10,"283",10,"2",10,"3",10,"1",10,"5",10,"2",10,"9",10,"677",10,"1072",10,"1",10,"9",10,"796",10,"1381",13,"0",10,"396",10,"5",10,"6",10,"11",10,"1749",10,"10",10,"2177"
"101648","1","999",13,"0",13,"0",10,"45",10,"9",10,"4",10,"1",10,"11",13,"0",10,"18",10,"4",10,"176",10,"16",10,"5",10,"1",10,"259",10,"31",13,"0",10,"54",10,"5",10,"11",10,"22",10,"192",10,"6",10,"290"
"101648","2","1",13,"0",13,"0",10,"45",10,"9",10,"4",10,"1",10,"11",13,"0",10,"18",10,"4",10,"176",10,"16",10,"5",10,"1",10,"259",10,"31",13,"0",10,"54",10,"5",10,"11",10,"22",10,"192",10,"6",10,"290"
"101675","1","999",13,"0",13,"0",10,"910",10,"1184",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"7",10,"4",13,"0",13,"0",10,"917",10,"1188",13,"0",10,"2094",13,"0",13,"0",13,"0",10,"11",13,"0",10,"2105"
