UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
445799,2,  1,"R",1,"Z",0,"R",236,"R",3,"R",4,"Z",0,"R",73,"R",2,"R",239,"R",3,"R",1609,"R",29,"R",353,"R",11,"R",2515,"R",48,"R",1,"R",239,"R",4,"R",75,"R",242,"R",1638,"R",364,"R",2563
445805,1,999,"Z",0,"Z",0,"R",3,"R",6,"Z",0,"Z",0,"Z",0,"R",4,"R",3,"R",8,"R",1,"R",18,"Z",0,"R",1,"R",7,"R",37,"Z",0,"R",9,"Z",0,"R",4,"R",11,"R",19,"R",1,"R",44
445805,2,  1,"Z",0,"Z",0,"R",3,"R",6,"Z",0,"Z",0,"Z",0,"R",4,"R",3,"R",8,"R",1,"R",18,"Z",0,"R",1,"R",7,"R",37,"Z",0,"R",9,"Z",0,"R",4,"R",11,"R",19,"R",1,"R",44
445814,1,999,"Z",0,"Z",0,"R",73,"R",272,"Z",0,"R",4,"R",2,"R",7,"R",5,"R",23,"R",143,"R",588,"R",4,"R",20,"R",227,"R",914,"Z",0,"R",345,"R",4,"R",9,"R",28,"R",731,"R",24,"R",1141
445814,2,  1,"Z",0,"Z",0,"R",73,"R",272,"Z",0,"R",4,"R",2,"R",7,"R",5,"R",23,"R",143,"R",588,"R",4,"R",20,"R",227,"R",914,"Z",0,"R",345,"R",4,"R",9,"R",28,"R",731,"R",24,"R",1141
445823,1,999,"R",6,"R",1,"R",1,"Z",0,"R",1,"Z",0,"R",17,"Z",0,"R",1,"Z",0,"R",28,"R",2,"R",13,"Z",0,"R",67,"R",3,"R",7,"R",1,"R",1,"R",17,"R",1,"R",30,"R",13,"R",70
445823,2,  1,"R",6,"R",1,"R",1,"Z",0,"R",1,"Z",0,"R",17,"Z",0,"R",1,"Z",0,"R",28,"R",2,"R",13,"Z",0,"R",67,"R",3,"R",7,"R",1,"R",1,"R",17,"R",1,"R",30,"R",13,"R",70
445832,1,999,"Z",0,"Z",0,"R",1,"R",124,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",27,"Z",0,"Z",0,"R",2,"R",151,"Z",0,"R",125,"Z",0,"R",1,"Z",0,"R",27,"Z",0,"R",153
445832,2,  1,"Z",0,"Z",0,"R",1,"R",124,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",27,"Z",0,"Z",0,"R",2,"R",151,"Z",0,"R",125,"Z",0,"R",1,"Z",0,"R",27,"Z",0,"R",153
445841,1,999,"Z",0,"Z",0,"Z",0,"R",25,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"R",74,"Z",0,"Z",0,"R",1,"R",102,"Z",0,"R",25,"Z",0,"Z",0,"R",3,"R",75,"Z",0,"R",103
445841,2,  1,"Z",0,"Z",0,"Z",0,"R",25,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"R",74,"Z",0,"Z",0,"R",1,"R",102,"Z",0,"R",25,"Z",0,"Z",0,"R",3,"R",75,"Z",0,"R",103
445850,1,999,"Z",0,"Z",0,"R",2,"R",55,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"Z",0,"R",1,"R",2,"R",69,"Z",0,"R",57,"R",1,"Z",0,"Z",0,"R",12,"R",1,"R",71
445850,2,  1,"Z",0,"Z",0,"R",2,"R",55,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"Z",0,"R",1,"R",2,"R",69,"Z",0,"R",57,"R",1,"Z",0,"Z",0,"R",12,"R",1,"R",71
445869,1,999,"R",3,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"R",1,"R",12,"R",22,"Z",0,"Z",0,"R",17,"R",28,"R",7,"Z",0,"Z",0,"R",1,"R",3,"R",34,"Z",0,"R",45
445869,4,  3,"R",3,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"R",1,"R",12,"R",22,"Z",0,"Z",0,"R",17,"R",28,"R",7,"Z",0,"Z",0,"R",1,"R",3,"R",34,"Z",0,"R",45
445896,1,999,"Z",0,"Z",0,"R",1,"R",52,"Z",0,"R",2,"R",1,"R",9,"R",6,"R",57,"R",4,"R",69,"Z",0,"R",1,"R",12,"R",190,"Z",0,"R",53,"R",2,"R",10,"R",63,"R",73,"R",1,"R",202
445896,2,  1,"Z",0,"Z",0,"R",1,"R",52,"Z",0,"R",2,"R",1,"R",9,"R",6,"R",57,"R",4,"R",69,"Z",0,"R",1,"R",12,"R",190,"Z",0,"R",53,"R",2,"R",10,"R",63,"R",73,"R",1,"R",202
445911,1,999,"Z",0,"Z",0,"R",39,"R",47,"Z",0,"Z",0,"R",6,"R",8,"Z",0,"R",88,"R",76,"R",203,"R",153,"Z",0,"R",274,"R",346,"Z",0,"R",86,"Z",0,"R",14,"R",88,"R",279,"R",153,"R",620
445911,2,  1,"Z",0,"Z",0,"R",39,"R",47,"Z",0,"Z",0,"R",6,"R",8,"Z",0,"R",88,"R",76,"R",203,"R",153,"Z",0,"R",274,"R",346,"Z",0,"R",86,"Z",0,"R",14,"R",88,"R",279,"R",153,"R",620
