UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
196237,1,3,1,2,1,3,1,1,3,"R",3545,"R",1478,"R",2067,"R",2432,"R",996,"R",1436,"R",512,"R",197,"R",315,"R",504,"R",192,"R",312,"R",8,"R",5,"R",3,"R",474,"R",92,"R",29,"R",6,"R",440,"R",540,"R",440,"R",520,"R",19,"R",24,"A",,"A",,"A",,"A",
196246,1,2,1,1,1,3,1,1,3,"R",9404,"R",3546,"R",5858,"R",4799,"R",2894,"R",1905,"R",1021,"R",413,"R",608,"R",1019,"R",412,"R",607,"R",2,"R",1,"R",1,"R",737,"R",72,"R",174,"R",17,"R",480,"R",610,"R",510,"R",600,"R",21,"R",25,"R",20,"R",26,"R",19,"R",25
196291,1,3,1,2,2,3,1,1,3,"R",1449,"R",1251,"R",198,"R",841,"R",701,"R",140,"R",309,"R",264,"R",45,"R",309,"R",264,"R",45,"A",,"A",,"A",,"R",255,"R",83,"R",121,"R",39,"R",500,"R",590,"R",530,"R",620,"R",23,"R",27,"A",,"A",,"A",,"A",
196413,2,2,1,2,1,1,1,1,3,"R",30923,"R",13704,"R",17219,"R",16179,"R",7079,"R",9100,"R",3712,"R",1678,"R",2034,"R",3704,"R",1673,"R",2031,"R",8,"R",5,"R",3,"R",2470,"R",67,"R",1602,"R",43,"R",530,"R",630,"R",560,"R",660,"R",25,"R",29,"R",24,"R",31,"R",24,"R",29
196431,3,3,2,1,1,3,3,3,3,"R",47,"R",47,"Z",0,"R",39,"R",39,"A",,"R",31,"R",31,"A",,"R",31,"R",31,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
196440,3,3,2,1,1,3,3,3,3,"R",3,"R",3,"Z",0,"R",2,"R",2,"A",,"R",1,"R",1,"A",,"R",1,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
196583,3,3,2,1,1,3,3,3,3,"R",25,"R",25,"Z",0,"R",20,"R",20,"A",,"R",16,"R",16,"A",,"R",16,"R",16,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
196592,2,3,2,3,2,1,2,2,3,"R",1580,"R",380,"R",1200,"R",978,"R",232,"R",746,"R",740,"R",178,"R",562,"R",728,"R",176,"R",552,"R",12,"R",2,"R",10,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
196653,1,2,1,3,3,3,2,1,1,"R",752,"R",92,"R",660,"R",407,"R",47,"R",360,"R",143,"R",11,"R",132,"R",129,"R",10,"R",119,"R",14,"R",1,"R",13,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
196866,2,2,1,1,1,3,2,1,3,"R",6648,"R",3555,"R",3093,"R",2453,"R",1282,"R",1171,"R",560,"R",306,"R",254,"R",560,"R",306,"R",254,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
